Process,Topic,SAP Table,Business Table,Fact/Dim Table,Functional Description,Measures
Logistics and Transportation,Transport Load Optimization,EKPO,Purchase Order,Fact Procurement Order,"Purchase order item details with material, vendor and invoicing references","ordered quantity, order value"
Logistics and Transportation,Transport Load Optimization,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Logistics and Transportation,Transport Load Optimization,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Logistics and Transportation,Transport Load Optimization,LFA1,Supplier Master,Dim Supplier,Supplier general master data and relationship attributes,
Logistics and Transportation,Transport Load Optimization,KNA1,Customer Master,Dim Customer,Customer master general data for identification and classification,
Logistics and Transportation,Reverse Logistics Costs,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Logistics and Transportation,Reverse Logistics Costs,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Logistics and Transportation,Reverse Logistics Costs,VTTK,Shipment Header,Dim Shipment,Shipment header master for carrier and route planning,
Logistics and Transportation,Reverse Logistics Costs,VTTP,Shipment Item,Dim Shipment,Shipment item detail for transport load optimization,
Logistics and Transportation,Reverse Logistics Costs,VTTS,Shipment Stage,Dim Shipment,Shipment stage lifecycle and status tracking,
Logistics and Transportation,Reverse Logistics Costs,VFKP,Shipment Cost Header,Fact Shipment,Shipment cost header for freight and logistics cost analysis,"freight cost, surcharge amount"
Logistics and Transportation,Reverse Logistics Costs,VFKN,Shipment Cost Item,Fact Shipment,Shipment cost item lines for detailed transportation costing,"freight cost, tax amount"
Logistics and Transportation,Reverse Logistics Costs,VTFA,Shipment Document Flow,Dim Shipment,Shipment-document flow records linking delivery to sales and billing,
Logistics and Transportation,Reverse Logistics Costs,EKPO,Purchase Order,Fact Procurement Order,"Purchase order item details with material, vendor and invoicing references","ordered quantity, order value"
Logistics and Transportation,Reverse Logistics Costs,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Logistics and Transportation,Reverse Logistics Costs,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Logistics and Transportation,Reverse Logistics Costs,LFA1,Supplier Master,Dim Supplier,Supplier general master data and relationship attributes,
Logistics and Transportation,Reverse Logistics Costs,KNA1,Customer Master,Dim Customer,Customer master general data for identification and classification,
Logistics and Transportation,Customs and Tariffs,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Logistics and Transportation,Customs and Tariffs,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Logistics and Transportation,Customs and Tariffs,VTTK,Shipment Header,Dim Shipment,Shipment header master for carrier and route planning,
Logistics and Transportation,Customs and Tariffs,VTTP,Shipment Item,Dim Shipment,Shipment item detail for transport load optimization,
Logistics and Transportation,Customs and Tariffs,VTTS,Shipment Stage,Dim Shipment,Shipment stage lifecycle and status tracking,
Logistics and Transportation,Customs and Tariffs,VFKP,Shipment Cost Header,Fact Shipment,Shipment cost header for freight and logistics cost analysis,"freight cost, surcharge amount"
Logistics and Transportation,Customs and Tariffs,VFKN,Shipment Cost Item,Fact Shipment,Shipment cost item lines for detailed transportation costing,"freight cost, tax amount"
Logistics and Transportation,Customs and Tariffs,VTFA,Shipment Document Flow,Dim Shipment,Shipment-document flow records linking delivery to sales and billing,
Logistics and Transportation,Customs and Tariffs,EKPO,Purchase Order,Fact Procurement Order,"Purchase order item details with material, vendor and invoicing references","ordered quantity, order value"
Logistics and Transportation,Customs and Tariffs,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Logistics and Transportation,Customs and Tariffs,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Logistics and Transportation,Customs and Tariffs,LFA1,Supplier Master,Dim Supplier,Supplier general master data and relationship attributes,
Logistics and Transportation,Customs and Tariffs,KNA1,Customer Master,Dim Customer,Customer master general data for identification and classification,
Logistics and Transportation,Delivery Lead Time Variability,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Logistics and Transportation,Delivery Lead Time Variability,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Logistics and Transportation,Delivery Lead Time Variability,VTTK,Shipment Header,Dim Shipment,Shipment header master for carrier and route planning,
Logistics and Transportation,Delivery Lead Time Variability,VTTP,Shipment Item,Dim Shipment,Shipment item detail for transport load optimization,
